track id,genre,amazement,solemnity,tenderness,nostalgia,calmness,power,joyful_activation,tension,sadness,count
1,classical,0,1,0,0,1,0,0,0,0,48
2,classical,0,0,1,1,1,0,0,0,0,47
3,classical,0,1,0,0,0,0,1,0,0,46
4,classical,0,0,1,1,1,0,0,0,0,42
5,classical,0,0,1,1,1,0,0,0,1,44
6,classical,0,0,0,1,1,0,0,0,0,47
7,classical,1,0,0,0,0,1,1,0,0,47
8,classical,0,0,1,0,1,0,0,0,0,46
9,classical,0,0,0,1,1,0,0,0,0,44
10,classical,1,0,0,0,0,1,1,0,0,47
11,classical,0,0,0,1,0,0,0,0,1,47
12,classical,1,0,1,1,1,0,1,0,0,51
13,classical,0,0,0,1,1,0,0,0,0,47
14,classical,0,0,0,1,1,0,0,0,0,49
15,classical,0,0,0,1,0,0,0,0,1,44
16,classical,0,1,0,0,0,1,0,1,0,44
17,classical,0,0,1,1,1,0,0,0,0,39
18,classical,1,1,0,0,0,0,1,0,0,51
19,classical,0,1,1,0,1,0,0,0,0,47
20,classical,0,1,0,0,1,0,0,0,0,45
21,classical,0,0,1,0,1,0,0,0,0,45
22,classical,0,0,1,0,1,0,0,0,0,40
23,classical,0,1,0,0,0,0,1,0,0,46
24,classical,0,0,0,0,0,1,1,0,0,49
25,classical,0,1,0,1,1,0,0,0,0,46
26,classical,0,0,0,0,0,1,1,0,0,44
27,classical,0,1,0,0,0,1,0,1,0,40
28,classical,1,0,0,0,1,0,1,0,0,54
29,classical,0,0,0,0,1,0,0,0,1,48
30,classical,1,0,0,0,0,1,1,0,0,46
31,classical,0,0,0,1,1,0,0,0,0,47
32,classical,0,0,0,1,1,0,0,0,0,44
33,classical,0,0,1,1,1,0,0,0,0,35
34,classical,0,0,0,0,1,0,1,0,0,25
35,classical,0,0,1,0,1,0,0,0,0,17
36,classical,0,0,0,1,1,0,0,0,0,17
37,classical,0,0,1,1,1,0,0,0,0,18
38,classical,0,0,0,1,1,0,0,0,1,17
39,classical,1,0,0,0,0,1,1,0,0,19
40,classical,0,0,0,0,0,1,1,1,0,17
41,classical,0,1,0,1,1,0,0,0,0,19
42,classical,0,0,1,0,1,0,0,0,0,17
43,classical,0,0,0,0,0,0,1,0,1,17
44,classical,0,1,0,0,1,0,0,0,0,17
45,classical,0,0,0,0,1,0,0,0,1,17
46,classical,0,0,1,0,1,0,0,0,0,17
47,classical,0,0,0,1,1,0,0,0,1,17
48,classical,0,1,0,1,0,0,0,1,0,17
49,classical,0,1,0,0,0,0,0,1,1,17
50,classical,0,1,0,0,0,1,1,0,0,17
51,classical,0,0,0,1,1,0,0,0,1,18
52,classical,0,0,0,0,0,0,1,1,0,18
53,classical,0,1,0,0,0,0,1,1,0,17
54,classical,0,0,0,0,1,1,1,0,0,18
55,classical,0,0,1,0,1,0,0,0,0,18
56,classical,0,0,1,1,1,0,0,0,0,18
57,classical,0,1,0,0,0,0,0,0,1,18
58,classical,0,0,0,0,0,1,0,1,0,17
59,classical,0,0,0,0,0,1,1,0,0,17
60,classical,0,0,0,1,1,0,0,0,1,17
61,classical,0,0,0,0,0,0,1,1,0,18
62,classical,0,0,0,1,0,0,1,1,0,17
63,classical,0,0,0,1,1,0,0,0,0,17
64,classical,1,0,0,0,1,0,1,1,0,17
65,classical,0,0,0,0,0,1,1,1,0,17
66,classical,0,1,0,0,0,0,1,1,0,17
67,classical,0,0,1,0,1,0,0,0,0,17
68,classical,0,0,0,1,1,0,0,0,0,18
69,classical,0,0,1,1,1,0,0,0,0,38
70,classical,0,0,0,1,1,0,0,0,0,18
71,classical,0,1,0,0,0,0,1,0,0,17
72,classical,0,1,0,0,1,0,1,1,0,17
73,classical,0,0,0,1,1,0,0,0,0,17
74,classical,0,0,0,0,0,0,1,1,0,18
75,classical,0,0,0,0,0,0,1,1,0,17
76,classical,0,1,0,0,0,0,0,1,0,17
77,classical,0,0,1,0,1,0,0,0,0,17
78,classical,0,0,0,0,0,0,1,1,0,17
79,classical,0,0,0,1,0,0,1,0,0,17
80,classical,0,1,0,0,0,0,1,0,0,17
81,classical,0,1,0,0,0,1,1,0,0,16
82,classical,0,0,1,1,1,0,0,0,0,16
83,classical,0,0,0,1,0,0,1,0,1,17
84,classical,0,1,0,0,1,0,0,0,0,17
85,classical,1,0,0,0,0,0,1,1,0,17
86,classical,0,0,0,0,0,0,0,1,0,18
87,classical,0,0,0,1,1,0,0,0,0,17
88,classical,0,0,0,0,0,0,1,1,0,17
89,classical,0,0,1,1,1,0,0,0,0,17
90,classical,0,0,0,0,0,0,1,1,0,17
91,classical,0,1,0,0,0,0,0,0,1,17
92,classical,0,1,0,0,1,0,0,0,0,17
93,classical,0,0,1,1,1,0,0,0,0,17
94,classical,0,1,0,0,1,0,0,0,0,17
95,classical,1,0,0,0,0,0,1,0,0,17
96,classical,0,0,1,0,1,0,1,0,0,17
97,classical,0,1,0,0,0,0,0,0,1,17
98,classical,0,1,0,0,1,0,0,0,0,17
99,classical,0,0,1,1,1,0,0,0,0,17
100,classical,0,1,0,0,0,1,0,0,0,17
101,rock,0,0,0,1,0,0,0,0,1,50
102,rock,0,0,1,1,1,0,0,0,0,51
103,rock,0,0,0,0,0,1,1,0,0,48
104,rock,0,0,1,1,0,0,0,0,0,45
105,rock,0,0,0,1,0,0,0,0,1,44
106,rock,0,0,0,1,0,0,0,0,1,44
107,rock,0,0,0,0,1,0,0,0,0,44
108,rock,0,0,0,1,0,0,0,1,0,38
109,rock,0,0,0,0,0,1,1,0,0,46
