jamendo_id,title,duration,artist_name,album_name,audio_download,vocalinstrumental,lang,gender,acousticelectric,speed,genres,instruments
10087,Dans ce monde,178,Shex,Des rêves et du vent,https://mp3d.jamendo.com/download/track/10087/mp32/,instrumental,NULL,NULL,NULL,medium,"hiphop, rnb",NULL
39339,Long Distance,363,Nîco,Poker party,https://mp3d.jamendo.com/download/track/39339/mp32/,instrumental,NULL,NULL,NULL,verylow,"rock, metal, funk, alternative",piano
287,Portées Disparues (Femmes sans visage),197,Alchimie,Adversité,https://mp3d.jamendo.com/download/track/287/mp32/,vocal,NULL,male,NULL,veryhigh,"rock, pop, alternative","voice, guitar, drum"
21057,Teufelsritt,271,Minnesanc,Teufelsritt,https://mp3d.jamendo.com/download/track/21057/mp32/,instrumental,NULL,NULL,NULL,veryhigh,metal,NULL
112990,Dubliftment,437,Natty I,Dubbing is a must EP,https://mp3d.jamendo.com/download/track/112990/mp32/,instrumental,NULL,neutral,electric,verylow,"reggae, dub, world, island","drum, brass"
77653,Arms of FireKing,312,Max Crisafulli,Secret of Zaken,https://mp3d.jamendo.com/download/track/77653/mp32/,instrumental,NULL,NULL,NULL,medium,"dance, techno, electronic, newage",NULL
2743,Mind strength,208,Daemon X,gold zero,https://mp3d.jamendo.com/download/track/2743/mp32/,NULL,NULL,NULL,NULL,NULL,"electronic, minimal, soundtrack",NULL
3543,Fuite (l'avenir),449,Chrysalide,Après la chute,https://mp3d.jamendo.com/download/track/3543/mp32/,vocal,NULL,female,NULL,medium,"pop, soundtrack",voice
6250,La mort,238,Xcyril,Musiques pour films,https://mp3d.jamendo.com/download/track/6250/mp32/,instrumental,NULL,neutral,NULL,low,"classical, soundtrack","keyboard, xylophone, tuba"
42234,Just,127,Maxa,Music from an AdultChild,https://mp3d.jamendo.com/download/track/42234/mp32/,NULL,NULL,NULL,NULL,verylow,"ambient, electronic, soundtrack, newage",piano
4402,Raining outside,487,DIY-note,Ruptures,https://mp3d.jamendo.com/download/track/4402/mp32/,instrumental,NULL,neutral,electric,veryhigh,"experimental, electronic, rock, postrock",piano
8690,Peut-être,238,En attendant Mado,"21min20, thermostat 7",https://mp3d.jamendo.com/download/track/8690/mp32/,vocal,NULL,male,electric,medium,"pop, world","piano, voice, woodwind"
77654,Crude Heroes,193,Max Crisafulli,Secret of Zaken,https://mp3d.jamendo.com/download/track/77654/mp32/,instrumental,NULL,NULL,NULL,medium,"dance, techno, newage, electronic",NULL
2726,Trans10,69,Daemon X,gold zero,https://mp3d.jamendo.com/download/track/2726/mp32/,NULL,NULL,NULL,NULL,low,"electronic, minimal",piano
35342,James Bond est mort ce soir,224,Circus Marcus,Au revoir,https://mp3d.jamendo.com/download/track/35342/mp32/,instrumental,NULL,NULL,acoustic,NULL,"classical, minimal, soundtrack",piano
1442,Que je t'enlève,227,David Law,La Solitude du Cosmonaute,https://mp3d.jamendo.com/download/track/1442/mp32/,vocal,NULL,NULL,NULL,veryhigh,"pop, soundtrack",voice
53720,Piano Sismographe,214,GDM,GDM,https://mp3d.jamendo.com/download/track/53720/mp32/,instrumental,NULL,NULL,NULL,verylow,classical,piano
16659,Dead Can,320,In Faded Glory,Polyplastic Heaven,https://mp3d.jamendo.com/download/track/16659/mp32/,vocal,en,male,electric,medium,"rock, pop, metal, indie","drum, voice, guitar"
49038,blacksheep desert,105,Cyril.G Pereira,The Revenge of Glory,https://mp3d.jamendo.com/download/track/49038/mp32/,instrumental,NULL,neutral,electric,medium,"soundtrack, orchestral, classical","strings, piano, drum"
7349,Mon voeu,260,Vertiges,Notre 1er Album,https://mp3d.jamendo.com/download/track/7349/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb",voice
5370, mr psyko,121,Silence Abstrait,S.D. 0,https://mp3d.jamendo.com/download/track/5370/mp32/,instrumental,NULL,NULL,NULL,veryhigh,electronic,NULL
1578,Weight Head,250,David Law,Law y es-tu ?,https://mp3d.jamendo.com/download/track/1578/mp32/,instrumental,NULL,NULL,NULL,medium,"rock, pop, soundtrack",guitar
6058,Curse,487,Mobyl,The oncoming happy days,https://mp3d.jamendo.com/download/track/6058/mp32/,instrumental,NULL,neutral,electric,medium,"electronic, alternative, experimental",NULL
36983,"Night, Campfire, Kalimba (15 Tines)",95,SaReGaMa,Spirit of Kalimba,https://mp3d.jamendo.com/download/track/36983/mp32/,instrumental,NULL,neutral,electric,verylow,"world, ambient, african, lounge","kalimba, mbira"
14379,Euros In Texas II,220,Sickboys and Lowmen,Like Pow,https://mp3d.jamendo.com/download/track/14379/mp32/,vocal,NULL,male,NULL,medium,"rock, blues, pop, popfolk","voice, piano, guitar"
4886,Ville de Crystal,210,Tom La Meche,Voyageur,https://mp3d.jamendo.com/download/track/4886/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"jazz, lounge, electronic, easylistening",piano
9437,Passons le temps,224,New-G,Harmonie,https://mp3d.jamendo.com/download/track/9437/mp32/,instrumental,NULL,NULL,NULL,medium,"classical, soundtrack",piano
43413,Track Für Track,256,K.Os Rhymes,Fuß In Der Tür,https://mp3d.jamendo.com/download/track/43413/mp32/,vocal,de,NULL,NULL,veryhigh,"hiphop, rap",voice
14022,Learning to live,299,Galdson,Roots,https://mp3d.jamendo.com/download/track/14022/mp32/,instrumental,NULL,neutral,electric,verylow,classical,piano
38526,Green Vision,294,#NarNaoud#,Green Vision,https://mp3d.jamendo.com/download/track/38526/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"triphop, downtempo, reggae, dub",NULL
24359,Fines con principios,147,nkoemcee,BBOY COLEANDO,https://mp3d.jamendo.com/download/track/24359/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb",voice
9043,Eye,516,Glue Trax,rouge - Live La Péniche (030605),https://mp3d.jamendo.com/download/track/9043/mp32/,instrumental,NULL,neutral,electric,medium,"experimental, alternative, jazz, soundtrack",piano
2235,Neologism part.4,377,Wikoo,Neologism,https://mp3d.jamendo.com/download/track/2235/mp32/,instrumental,NULL,NULL,NULL,medium,"techno, dance, electropop",NULL
2261,Family bonds,242,Sköhl Offensrüh,First Act.,https://mp3d.jamendo.com/download/track/2261/mp32/,instrumental,NULL,NULL,NULL,medium,"rock, grunge","guitar, drum"
18801,Vizirette,134,The Pierre Richard's Family,Mother's Coffee,https://mp3d.jamendo.com/download/track/18801/mp32/,vocal,NULL,male,NULL,NULL,"rock, metal, hardrock","voice, guitar, drum"
21865,Resident Level,218,ADC LEVEL,Sound Sequel,https://mp3d.jamendo.com/download/track/21865/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"hiphop, trance, techno, electronic",NULL
10625,Walk,199,Hasch'm'Méneum,Maxi Mome,https://mp3d.jamendo.com/download/track/10625/mp32/,instrumental,NULL,NULL,NULL,NULL,"acidjazz, alternative, experimental",NULL
616,Immensité,279,Kristof,Kristof,https://mp3d.jamendo.com/download/track/616/mp32/,vocal,NULL,male,NULL,medium,"rock, pop","voice, guitar, drum"
7075,Les messagers,260,Ogg Vorbis,Tube H Yeah,https://mp3d.jamendo.com/download/track/7075/mp32/,vocal,NULL,male,electric,veryhigh,"hiphop, rnb","guitar, voice, woodwind"
34779,Les Collègues,193,Lou Zgain,Maxi Best Of 2006,https://mp3d.jamendo.com/download/track/34779/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb","voice, guitar"
78047,Uno Dos Tres Quatro,284,mmb digidesigns,Time Voyage,https://mp3d.jamendo.com/download/track/78047/mp32/,instrumental,NULL,NULL,NULL,medium,"electronic, world",NULL
1462,Recreation,329,David Law,Urban Shades,https://mp3d.jamendo.com/download/track/1462/mp32/,instrumental,NULL,NULL,NULL,veryhigh,"hiphop, pop, downtempo, triphop",guitar
89273,Formula 1,200,Nobody,Nobody is Nobody,https://mp3d.jamendo.com/download/track/89273/mp32/,vocal,NULL,male,NULL,veryhigh,"pop, funk, reggae, alternative","voice, guitar"
33546,Gaeges Vergaesse,375,Direct Raption,Direct Raption,https://mp3d.jamendo.com/download/track/33546/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rap, rnb",voice
83641,Panurge,281,Marc ANDRÉ,Le gars des villes,https://mp3d.jamendo.com/download/track/83641/mp32/,vocal,NULL,male,NULL,medium,"jazz, chanson, reggae","voice, woodwind, brass"
2730,Trans08,89,Daemon X,gold zero,https://mp3d.jamendo.com/download/track/2730/mp32/,NULL,NULL,NULL,NULL,medium,"electronic, minimal",NULL
14300,Carthago,293,Ben OThman,"Lounge Café Tunis ""Intellectuel""",https://mp3d.jamendo.com/download/track/14300/mp32/,instrumental,NULL,neutral,electric,veryhigh,"world, downtempo","guitar, drum"
168952,Live in Onara,350,Roger Subirana Mata,Point of no return,https://mp3d.jamendo.com/download/track/168952/mp32/,vocal,NULL,female,electric,medium,"soundtrack, newage, experimental, alternative","piano, voice, guitar"
10936,Soul Roots (edit version),251,Mr Haze,SOUL ROOTS,https://mp3d.jamendo.com/download/track/10936/mp32/,vocal,NULL,male,NULL,verylow,"reggae, dub",voice
21229,Dena eman duenari!,150,skt sekuentzia,Hautsetik,https://mp3d.jamendo.com/download/track/21229/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb","voice, guitar"
61543,Sehnsucht,333,PieRreF,Nuvole e Pioggia,https://mp3d.jamendo.com/download/track/61543/mp32/,instrumental,NULL,NULL,NULL,medium,"pop, newage, electronic",strings
19256,flying colours,349,Pharmacopia,to years two long too day,https://mp3d.jamendo.com/download/track/19256/mp32/,instrumental,NULL,NULL,NULL,medium,"jazz, electronic",piano
3643,take 5,243,thelinks,I can die on the TV,https://mp3d.jamendo.com/download/track/3643/mp32/,vocal,en,male,acoustic,high,"rock, alternative, experimental","voice, piano"
47896,Célibat,306,En attendant Mado,Séquelles qu'on aime,https://mp3d.jamendo.com/download/track/47896/mp32/,vocal,fr,male,acoustic,verylow,"pop, world","voice, guitar, strings"
18625,EzEKieL 15-17,224,Apocalyptik Vs Mantis,4 Nations,https://mp3d.jamendo.com/download/track/18625/mp32/,instrumental,NULL,NULL,NULL,medium,"soundtrack, hiphop, electronic, dub",NULL
14608,Muezzin,225,DJ Farwest,In The Hood,https://mp3d.jamendo.com/download/track/14608/mp32/,vocal,NULL,male,NULL,veryhigh,hiphop,"voice, guitar"
169206,Requiem,290,Roger Subirana Mata,Point of no return,https://mp3d.jamendo.com/download/track/169206/mp32/,instrumental,NULL,female,electric,veryhigh,"soundtrack, newage","strings, piano, synthesizer"
8581,Un pion sur l'échiquier,243,Shex,hors tendance,https://mp3d.jamendo.com/download/track/8581/mp32/,vocal,NULL,male,NULL,veryhigh,"hiphop, rnb","voice, guitar"
5498,Nulla Reazione (ast. people part 2),221,Daniele Torelli,Without the People,https://mp3d.jamendo.com/download/track/5498/mp32/,vocal,NULL,female,NULL,medium,"pop, experimental, electronic","voice, guitar"
40761,Septième non-sens,174,Gnark Sombre,This is not music,https://mp3d.jamendo.com/download/track/40761/mp32/,instrumental,NULL,NULL,NULL,medium,"classical, electronic, soundtrack","strings, piano"
34127,Feverish Fiddling,99,ANUG,Chamber Works,https://mp3d.jamendo.com/download/track/34127/mp32/,instrumental,NULL,NULL,NULL,veryhigh,classical,NULL
3969,Pollution sonore,344,Shakâlakah,Shakâlakah,https://mp3d.jamendo.com/download/track/3969/mp32/,vocal,NULL,male,NULL,medium,rock,"voice, guitar, drum"
